1975;0-19 ans;16888065
1975;20-39 ans;14486874
1975;40-59 ans;11552754
1975;60-74 ans;7015885
1975;75 ans et +;2656422
1976;0-19 ans;16809211
1976;20-39 ans;14678387
1976;40-59 ans;11726623
1976;60-74 ans;6861583
1976;75 ans et +;2722534
1977;0-19 ans;16703587
1977;20-39 ans;14901863
1977;40-59 ans;11989832
1977;60-74 ans;6613226
1977;75 ans et +;2810497
1978;0-19 ans;16612734
1978;20-39 ans;15132004
1978;40-59 ans;12226703
1978;60-74 ans;6389578
1978;75 ans et +;2910547
1979;0-19 ans;16510923
1979;20-39 ans;15351260
1979;40-59 ans;12414968
1979;60-74 ans;6210532
1979;75 ans et +;2993390
1980;0-19 ans;16418623
1980;20-39 ans;15594098
1980;40-59 ans;12561019
1980;60-74 ans;6079033
1980;75 ans et +;3078614
1981;0-19 ans;16379718
1981;20-39 ans;15880220
1981;40-59 ans;12419113
1981;60-74 ans;6189906
1981;75 ans et +;3159673
1982;0-19 ans;16327004
1982;20-39 ans;16217996
1982;40-59 ans;12269187
1982;60-74 ans;6289344
1982;75 ans et +;3231469
1983;0-19 ans;16302740
1983;20-39 ans;16483945
1983;40-59 ans;12184192
1983;60-74 ans;6371012
1983;75 ans et +;3308095
1984;0-19 ans;16199216
1984;20-39 ans;16733175
1984;40-59 ans;12144340
1984;60-74 ans;6438045
1984;75 ans et +;3380078
1985;0-19 ans;16091820
1985;20-39 ans;16980965
1985;40-59 ans;12118273
1985;60-74 ans;6506109
1985;75 ans et +;3460136
1986;0-19 ans;15999391
1986;20-39 ans;17207202
1986;40-59 ans;12088981
1986;60-74 ans;6585146
1986;75 ans et +;3530518
1987;0-19 ans;15919634
1987;20-39 ans;17234552
1987;40-59 ans;12261117
1987;60-74 ans;6680584
1987;75 ans et +;3585893
1988;0-19 ans;15852690
1988;20-39 ans;17203209
1988;40-59 ans;12481960
1988;60-74 ans;6751421
1988;75 ans et +;3676862
1989;0-19 ans;15793067
1989;20-39 ans;17166752
1989;40-59 ans;12708635
1989;60-74 ans;6837855
1989;75 ans et +;3763501
1990;0-19 ans;15719647
1990;20-39 ans;17153178
1990;40-59 ans;12940589
1990;60-74 ans;6925168
1990;75 ans et +;3838418
1991;0-19 ans;15605455
1991;20-39 ans;17126616
1991;40-59 ans;13153847
1991;60-74 ans;7169783
1991;75 ans et +;3784960
1992;0-19 ans;15473515
1992;20-39 ans;17163472
1992;40-59 ans;13342685
1992;60-74 ans;7446661
1992;75 ans et +;3684200
1993;0-19 ans;15330473
1993;20-39 ans;17188587
1993;40-59 ans;13542190
1993;60-74 ans;7704985
1993;75 ans et +;3602926
1994;0-19 ans;15179775
1994;20-39 ans;17190600
1994;40-59 ans;13749536
1994;60-74 ans;7900918
1994;75 ans et +;3544179
1995;0-19 ans;15084361
1995;20-39 ans;17108296
1995;40-59 ans;13960425
1995;60-74 ans;8063934
1995;75 ans et +;3535519
1996;0-19 ans;15058227
1996;20-39 ans;16973323
1996;40-59 ans;14187229
